# Two Dipoles. Collinear case. Opposite moments. $l=5$
# Commit: 2026-08-08-4-g5e9f416
# KinematicViscosity: 0
# TauMode: Dynamic τ_i = 1/Σ_n exp(-ξ²)
# Date: 2026-08-14 01:33:43
time,d1_rx,d1_mx,d2_rx,d2_mx,sum_zeta_square,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z
90.999998,2.500000,455.422291,2.500000,-455.422291,414818.925495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91.999998,2.500000,455.422291,2.500000,-455.422291,414818.925495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.999998,2.500000,455.422291,2.500000,-455.422291,414818.925495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.999998,2.500000,455.422291,2.500000,-455.422291,414818.925495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.999998,2.500000,455.422291,2.500000,-455.422291,414818.925495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
95.999998,2.500000,455.422291,2.500000,-455.422291,414818.925495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.999998,2.500000,455.422291,2.500000,-455.422291,414818.925495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
97.999998,2.500000,455.422291,2.500000,-455.422291,414818.925495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
98.999998,2.500000,455.422291,2.500000,-455.422291,414818.925495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
99.999998,2.500000,455.422291,2.500000,-455.422291,414818.925495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
