# Two Dipoles. Viscous opposite moments. $\\Reyn=0.5$, $x(0)=3$
# Commit: 2026-08-08-4-g5e9f416
# KinematicViscosity: 2
# TauMode: ConstPi32 τ = 1/π^(3/2)
# Date: 2026-08-14 01:33:44
time,d1_rx,d1_mx,d2_rx,d2_mx,sum_zeta_square,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z
15.800000,0.577092,0.342449,2.422908,-0.342449,0.234543,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.900000,0.576002,0.339579,2.423998,-0.339579,0.230628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.000000,0.574915,0.336755,2.425085,-0.336755,0.226808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.100000,0.573834,0.333975,2.426166,-0.333975,0.223079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.200000,0.572758,0.331239,2.427242,-0.331239,0.219439,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.300000,0.571687,0.328546,2.428313,-0.328546,0.215885,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.400000,0.570621,0.325894,2.429379,-0.325894,0.212414,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.500000,0.569560,0.323284,2.430440,-0.323284,0.209025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.600000,0.568505,0.320714,2.431495,-0.320714,0.205714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.700000,0.567455,0.318183,2.432545,-0.318183,0.202480,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.800000,0.566410,0.315690,2.433590,-0.315690,0.199321,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.900000,0.565370,0.313236,2.434630,-0.313236,0.196233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.000000,0.564336,0.310818,2.435664,-0.310818,0.193215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.100000,0.563308,0.308436,2.436692,-0.308436,0.190266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.200000,0.562285,0.306090,2.437715,-0.306090,0.187382,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
