# Two Dipoles from onedisk
# Commit: 2026-06-04-2-g5a5da60-dirty
# KinematicViscosity: 0
# TauMode: Dynamic τ_i = 1/Σ_n exp(-ξ²)
# Date: 2026-06-10 04:21:57
time,d1_rx,d1_ry,d1_rz,d1_mx,d1_my,d1_mz,d2_rx,d2_ry,d2_rz,d2_mx,d2_my,d2_mz,sum_zeta_square
57.499999,-0.224904,0.684789,0.440594,-0.657781,0.802187,0.053548,-0.331545,0.587425,0.443758,0.616781,-0.719187,0.011452,1.976828
57.999999,-0.228300,0.690799,0.444469,-0.672628,0.788928,0.053985,-0.332983,0.591241,0.447568,0.631628,-0.705928,0.011015,1.975160
58.499999,-0.231718,0.696791,0.448344,-0.687198,0.775377,0.054412,-0.334399,0.595077,0.451378,0.646198,-0.692377,0.010588,1.973481
58.999999,-0.235157,0.702763,0.452220,-0.701485,0.761540,0.054830,-0.335792,0.598934,0.455187,0.660485,-0.678540,0.010170,1.971789
59.499999,-0.238618,0.708716,0.456097,-0.715482,0.747423,0.055238,-0.337163,0.602812,0.458995,0.674482,-0.664423,0.009762,1.970086
59.999999,-0.242099,0.714648,0.459974,-0.729186,0.733032,0.055636,-0.338513,0.606711,0.462803,0.688186,-0.650032,0.009364,1.968372
60.499999,-0.245602,0.720559,0.463852,-0.742590,0.718373,0.056024,-0.339842,0.610633,0.466610,0.701590,-0.635373,0.008976,1.966646
60.999999,-0.249124,0.726449,0.467730,-0.755689,0.703453,0.056403,-0.341150,0.614576,0.470416,0.714689,-0.620453,0.008597,1.964909
61.499999,-0.252666,0.732318,0.471609,-0.768478,0.688278,0.056770,-0.342439,0.618543,0.474222,0.727478,-0.605278,0.008230,1.963160
61.999999,-0.256227,0.738165,0.475489,-0.780952,0.672854,0.057127,-0.343707,0.622532,0.478027,0.739952,-0.589854,0.007873,1.961401
62.499999,-0.259807,0.743990,0.479368,-0.793106,0.657188,0.057474,-0.344956,0.626545,0.481832,0.752106,-0.574188,0.007526,1.959630
62.999999,-0.263405,0.749791,0.483249,-0.804936,0.641287,0.057810,-0.346186,0.630583,0.485636,0.763936,-0.558287,0.007190,1.957849
63.499999,-0.267022,0.755570,0.487130,-0.816437,0.625158,0.058135,-0.347399,0.634644,0.489439,0.775437,-0.542158,0.006865,1.956057
63.999999,-0.270656,0.761325,0.491011,-0.827605,0.608807,0.058449,-0.348593,0.638731,0.493242,0.786605,-0.525807,0.006551,1.954253
64.499999,-0.274307,0.767057,0.494892,-0.838434,0.592241,0.058752,-0.349770,0.642842,0.497044,0.797434,-0.509241,0.006248,1.952440
64.999999,-0.277975,0.772764,0.498775,-0.848922,0.575467,0.059044,-0.350931,0.646979,0.500846,0.807922,-0.492467,0.005956,1.950616
65.499999,-0.281658,0.778447,0.502657,-0.859064,0.558493,0.059324,-0.352075,0.651142,0.504648,0.818064,-0.475493,0.005676,1.948781
65.999999,-0.285358,0.784105,0.506540,-0.868857,0.541326,0.059593,-0.353204,0.655331,0.508448,0.827857,-0.458326,0.005407,1.946936
66.499999,-0.289073,0.789738,0.510423,-0.878296,0.523973,0.059851,-0.354318,0.659546,0.512249,0.837296,-0.440973,0.005149,1.945081
66.999999,-0.292802,0.795345,0.514307,-0.887378,0.506441,0.060097,-0.355417,0.663788,0.516049,0.846378,-0.423441,0.004903,1.943216
